unit,cycle,op_setting_1,op_setting_2,op_setting_3,s1_vibration,s2_temp,s3_pressure,s4_acoustic,s5_flow,s6_current,s7_voltage,s8_misc,failure_flag,failure_mode,RUL
2,18,0.53,0.219,201.07,0.7154,59.581,28.995,42.05,100.533,0.1691,504.647,0.59,0,none,56
2,19,0.53,0.219,201.07,0.6755,60.256,28.754,42.21,100.178,0.1766,501.901,0.807,0,none,55
2,20,0.53,0.219,201.07,0.7122,61.043,28.805,41.773,100.633,0.1847,499.71,0.988,0,none,54
2,21,0.53,0.219,201.07,0.7186,60.524,28.338,41.462,98.919,0.2205,499.802,0.862,0,none,53
2,22,0.53,0.219,201.07,0.7336,60.207,28.363,41.497,100.501,0.2096,506.39,0.725,0,none,52
2,23,0.53,0.219,201.07,0.7263,60.24,28.447,42.398,101.032,0.2151,501.335,0.233,0,none,51
2,24,0.53,0.219,201.07,0.7578,60.837,28.022,43.012,99.317,0.2349,487.577,0.628,0,none,50
2,25,0.53,0.219,201.07,0.7411,61.227,28.556,42.239,99.58,0.2472,493.278,0.296,0,none,49
2,26,0.53,0.219,201.07,0.7416,59.553,27.871,42.065,100.683,0.2583,495.872,0.879,0,none,48
2,27,0.53,0.219,201.07,0.769,60.877,28.118,42.891,100.166,0.2749,501.446,0.231,0,none,47
2,28,0.53,0.219,201.07,0.8291,60.301,28.558,43.078,99.377,0.275,499.159,0.969,0,none,46
2,29,0.53,0.219,201.07,0.8184,60.295,28.821,43.136,99.448,0.2963,501.015,0.593,0,none,45
2,30,0.53,0.219,201.07,0.7697,60.18,29.491,42.819,100.584,0.3054,505.418,0.551,0,none,44
2,31,0.53,0.219,201.07,0.8065,60.221,29.42,42.735,99.967,0.3279,497.412,0.851,0,none,43
2,32,0.53,0.219,201.07,0.8245,58.9,29.972,43.803,100.343,0.3332,494.341,0.566,0,none,42
2,33,0.53,0.219,201.07,0.8417,60.48,30.8,43.854,100.82,0.3351,505.333,0.619,0,none,41
2,34,0.53,0.219,201.07,0.8634,60.355,31.132,43.215,99.166,0.3331,502.475,0.818,0,none,40
2,35,0.53,0.219,201.07,0.8506,61.339,31.371,43.523,98.64,0.3575,503.227,0.78,0,none,39
2,36,0.53,0.219,201.07,0.9033,60.853,31.467,43.869,100.048,0.3721,492.793,0.932,0,none,38
2,37,0.53,0.219,201.07,0.8611,60.837,32.12,43.187,100.133,0.363,505.975,0.046,0,none,37
2,38,0.53,0.219,201.07,0.8495,60.944,31.778,43.734,97.965,0.3873,505.4,0.446,0,none,36
2,39,0.53,0.219,201.07,0.861,59.681,32.129,43.649,98.979,0.3971,501.219,0.655,0,none,35
2,40,0.53,0.219,201.07,0.8887,60.689,31.635,43.943,100.633,0.3877,508.301,0.274,0,none,34
2,41,0.53,0.219,201.07,0.9091,60.942,31.809,44.276,98.748,0.4244,499.589,0.968,0,none,33
2,42,0.53,0.219,201.07,0.9423,60.975,31.64,44.554,100.723,0.4246,503.038,0.626,0,none,32
2,43,0.53,0.219,201.07,0.9339,61.215,31.442,45.02,99.324,0.448,499.799,0.064,0,none,31
2,44,0.53,0.219,201.07,0.9114,60.084,31.339,44.083,100.996,0.4372,499.873,0.072,0,none,30
2,45,0.53,0.219,201.07,0.941,59.688,30.349,44.88,100.786,0.4543,495.165,0.242,0,none,29
2,46,0.53,0.219,201.07,0.959,62.121,30.439,44.862,101.782,0.4512,500.188,0.351,0,none,28
2,47,0.53,0.219,201.07,0.95,60.799,30.589,45.02,99.429,0.4757,506.997,0.032,0,none,27
2,48,0.53,0.219,201.07,0.9985,61.866,29.759,44.997,100.681,0.4742,505.445,0.815,0,none,26
2,49,0.53,0.219,201.07,1.0163,61.079,29.89,44.555,101.736,0.492,496.743,0.872,0,none,25
2,50,0.53,0.219,201.07,0.9903,60.484,28.753,45.309,101.129,0.5297,499.517,0.719,0,none,24
2,51,0.53,0.219,201.07,1.0108,61.08,28.784,44.589,99.743,0.4933,501.996,0.743,0,none,23
2,52,0.53,0.219,201.07,1.0329,60.108,28.074,44.419,102.002,0.5189,508.904,0.873,0,none,22
2,53,0.53,0.219,201.07,1.0265,61.502,28.35,44.512,101.477,0.5438,496.872,0.716,0,none,21
2,54,0.53,0.219,201.07,1.0479,61.242,27.951,44.575,99.95,0.5384,505.312,0.515,0,none,20
2,55,0.53,0.219,201.07,1.073,60.23,27.891,44.94,98.705,0.5616,497.661,0.97,0,none,19
2,56,0.53,0.219,201.07,1.0669,60.342,27.96,44.552,100.254,0.5574,506.168,0.249,0,none,18
2,57,0.53,0.219,201.07,1.1,61.565,28.057,45.525,99.678,0.5908,501.91,0.585,0,none,17
2,58,0.53,0.219,201.07,1.0886,61.008,28.468,45.637,99.449,0.5805,496.562,0.937,0,none,16
2,59,0.53,0.219,201.07,1.1047,61.14,28.637,44.901,100.916,0.5935,504.99,0.489,0,none,15
2,60,0.53,0.219,201.07,1.0421,60.764,29.048,45.531,100.644,0.6028,496.746,0.444,0,none,14
2,61,0.53,0.219,201.07,1.1062,61.329,29.545,46.348,100.15,0.6136,512.017,0.869,0,none,13
2,62,0.53,0.219,201.07,1.1188,61.016,29.689,46.299,100.449,0.6092,503.342,0.659,0,none,12
2,63,0.53,0.219,201.07,1.2127,60.687,30.158,45.923,99.936,0.6333,501.607,0.567,0,none,11
2,64,0.53,0.219,201.07,1.2484,61.562,30.57,47.558,99.066,0.6505,502.85,0.762,0,none,10
2,65,0.53,0.219,201.07,1.294,61.988,30.795,48.563,99.827,0.6502,494.519,0.396,0,none,9
2,66,0.53,0.219,201.07,1.3312,61.377,31.65,47.824,99.696,0.6471,496.995,0.073,0,none,8
2,67,0.53,0.219,201.07,1.4528,62.845,31.274,49.826,100.982,0.6668,487.503,0.026,0,none,7
2,68,0.53,0.219,201.07,1.5258,62.282,31.258,49.523,98.176,0.7033,503.626,0.765,0,none,6
2,69,0.53,0.219,201.07,1.5519,63.807,32.115,49.041,100.104,0.6894,496.23,0.486,0,none,5
2,70,0.53,0.219,201.07,1.5944,63.465,31.686,49.485,99.383,0.6809,501.984,0.61,1,bearing,4
2,71,0.53,0.219,201.07,1.6402,64.89,31.701,48.988,100.55,0.7003,500.527,0.709,1,bearing,3
2,72,0.53,0.219,201.07,1.6933,65.02,31.65,49.899,99.925,0.7142,500.318,0.633,1,bearing,2
2,73,0.53,0.219,201.07,1.7824,65.732,31.804,49.32,99.298,0.7234,492.987,0.84,1,bearing,1
2,74,0.53,0.219,201.07,1.875,65.842,31.802,49.774,99.299,0.748,497.198,0.424,1,bearing,0
3,1,1.045,0.22,217.85,0.4965,60.159,30.147,41.173,98.812,0.0131,503.169,0.217,0,none,40
3,2,1.045,0.22,217.85,0.5283,60.652,31.266,39.432,100.268,0.0346,491.573,0.497,0,none,39
3,3,1.045,0.22,217.85,0.5139,60.88,31.633,40.023,100.569,0.0463,498.104,0.086,0,none,38
3,4,1.045,0.22,217.85,0.5359,59.53,31.221,40.107,99.802,0.0324,500.167,0.8,0,none,37
3,5,1.045,0.22,217.85,0.5547,59.322,31.782,40.917,98.006,0.0537,506.138,0.994,0,none,36
3,6,1.045,0.22,217.85,0.5358,60.467,32.448,40.47,101.727,0.061,496.596,0.958,0,none,35
3,7,1.045,0.22,217.85,0.5808,59.68,32.022,39.993,99.889,0.061,496.322,0.665,0,none,34
3,8,1.045,0.22,217.85,0.6047,59.893,31.577,40.836,100.78,0.0808,506.135,0.624,0,none,33
3,9,1.045,0.22,217.85,0.5938,60.025,31.988,40.824,100.708,0.0996,496.07,0.088,0,none,32
3,10,1.045,0.22,217.85,0.5734,60.244,32.031,40.576,98.399,0.1216,494.343,0.516,0,none,31
3,11,1.045,0.22,217.85,0.6099,60.639,31.642,41.051,100.919,0.1071,501.337,0.79,0,none,30
3,12,1.045,0.22,217.85,0.6264,59.986,31.28,40.606,99.647,0.1096,506.565,0.976,0,none,29
3,13,1.045,0.22,217.85,0.6517,60.497,31.023,41.709,101.39,0.1356,500.052,0.399,0,none,28
3,14,1.045,0.22,217.85,0.6138,60.094,30.372,41.654,100.054,0.122,496.767,0.506,0,none,27
3,15,1.045,0.22,217.85,0.6312,60.228,29.919,41.8,101.531,0.1622,498.933,0.058,0,none,26
3,16,1.045,0.22,217.85,0.6898,60.038,29.76,41.416,99.293,0.163,496.86,0.062,0,none,25
3,17,1.045,0.22,217.85,0.6732,60.342,29.62,42.295,100.95,0.1552,487.23,0.131,0,none,24
3,18,1.045,0.22,217.85,0.6987,60.296,29.412,41.546,98.829,0.1921,498.417,0.734,0,none,23
3,19,1.045,0.22,217.85,0.6785,59.084,28.612,42.096,98.521,0.1918,499.923,0.11,0,none,22
3,20,1.045,0.22,217.85,0.7116,59.42,29.105,41.403,99.96,0.2117,495.685,0.476,0,none,21
3,21,1.045,0.22,217.85,0.6826,59.613,28.698,41.995,99.331,0.2204,496.972,0.255,0,none,20
3,22,1.045,0.22,217.85,0.7565,60.396,28.373,42.905,101.214,0.2228,503.997,0.614,0,none,19
3,23,1.045,0.22,217.85,0.7306,60.083,28.151,41.961,102.013,0.2314,498.173,0.071,0,none,18
3,24,1.045,0.22,217.85,0.7437,60.079,28.397,41.91,98.672,0.2468,505.789,0.185,0,none,17
3,25,1.045,0.22,217.85,0.7737,60.859,28.381,42.122,98.578,0.265,498.387,0.615,0,none,16
3,26,1.045,0.22,217.85,0.755,60.841,28.6,42.308,100.039,0.2746,508.996,0.748,0,none,15
3,27,1.045,0.22,217.85,0.7808,61.076,28.345,42.28,98.955,0.2503,510.281,0.943,0,none,14
3,28,1.045,0.22,217.85,0.7579,60.318,28.638,42.905,99.835,0.2666,504.565,0.816,0,none,13
3,29,1.045,0.22,217.85,0.7867,60.721,28.996,43.704,100.491,0.2973,503.314,0.177,0,none,12
3,30,1.045,0.22,217.85,0.8235,60.763,29.45,42.953,99.914,0.3081,502.89,0.214,0,none,11
3,31,1.045,0.22,217.85,0.8348,60.631,29.926,43.951,100.241,0.336,502.828,0.689,0,none,10
3,32,1.045,0.22,217.85,0.7848,60.804,30.503,42.889,100.478,0.3175,499.902,0.247,0,none,9
3,33,1.045,0.22,217.85,0.8258,60.235,30.449,43.594,101.67,0.3339,494.021,0.355,0,none,8
3,34,1.045,0.22,217.85,0.8989,60.819,31.425,42.675,98.894,0.3355,495.898,0.877,0,none,7
3,35,1.045,0.22,217.85,0.9845,60.5,31.381,45.966,98.582,0.3324,492.372,0.794,0,none,6
3,36,1.045,0.22,217.85,1.0353,60.811,31.337,46.707,99.704,0.3613,496.56,0.561,0,none,5
3,37,1.045,0.22,217.85,1.1112,61.844,32.105,45.996,100.778,0.3645,495.909,0.059,0,none,4
3,38,1.045,0.22,217.85,1.1299,62.318,31.741,46.274,100.682,0.3523,504.005,0.147,0,none,3
3,39,1.045,0.22,217.85,1.1757,61.347,31.972,45.839,101.513,0.3963,494.879,0.636,0,none,2
3,40,1.045,0.22,217.85,1.2871,62.625,32.057,46.574,99.696,0.412,490.313,0.588,0,none,1
3,41,1.045,0.22,217.85,1.3002,62.76,31.924,45.216,100.323,0.4085,497.67,0.873,1,electrical,0
4,1,0.66,0.423,155.57,0.4781,59.836,30.518,40.004,101.39,-0.0011,499.742,0.081,0,none,39
4,2,0.66,0.423,155.57,0.5194,60.926,31.277,39.971,99.398,0.0247,495.008,0.751,0,none,38
4,3,0.66,0.423,155.57,0.536,60.237,31.166,39.812,99.108,0.0336,498.894,0.25,0,none,37
4,4,0.66,0.423,155.57,0.5583,59.678,31.883,40.264,99.979,0.0325,487.879,0.347,0,none,36
4,5,0.66,0.423,155.57,0.5677,60.224,31.709,40.851,100.097,0.0489,496.98,0.26,0,none,35
4,6,0.66,0.423,155.57,0.5759,59.493,31.952,39.922,100.466,0.0596,491.924,0.114,0,none,34
4,7,0.66,0.423,155.57,0.5933,59.927,31.808,41.016,99.55,0.0802,513.316,0.115,0,none,33
4,8,0.66,0.423,155.57,0.5886,60.507,32.052,40.616,99.172,0.0809,494.639,0.166,0,none,32
4,9,0.66,0.423,155.57,0.5316,59.956,32.551,41.785,98.966,0.0829,500.369,0.513,0,none,31
4,10,0.66,0.423,155.57,0.5963,60.887,31.625,40.6,99.517,0.0905,500.613,0.205,0,none,30
4,11,0.66,0.423,155.57,0.6425,60.04,31.77,41.259,99.968,0.1094,496.321,0.909,0,none,29
4,12,0.66,0.423,155.57,0.6164,61.837,31.441,40.824,99.574,0.1315,500.566,0.287,0,none,28
4,13,0.66,0.423,155.57,0.6012,60.441,31.442,41.894,100.537,0.1377,499.041,0.533,0,none,27
4,14,0.66,0.423,155.57,0.6497,59.857,30.477,41.915,99.665,0.136,495.224,0.44,0,none,26
4,15,0.66,0.423,155.57,0.6585,59.932,30.343,41.596,100.241,0.1552,500.029,0.418,0,none,25
4,16,0.66,0.423,155.57,0.6388,60.534,29.827,42.093,101.187,0.1859,502.898,0.079,0,none,24
4,17,0.66,0.423,155.57,0.6765,59.937,29.668,41.835,100.304,0.1881,501.754,0.314,0,none,23
4,18,0.66,0.423,155.57,0.7063,60.301,28.478,41.496,101.297,0.1798,495.003,0.712,0,none,22
4,19,0.66,0.423,155.57,0.6799,60.097,28.653,41.569,97.97,0.1976,506.285,0.621,0,none,21
4,20,0.66,0.423,155.57,0.72,60.184,28.608,41.988,99.096,0.2032,494.105,0.686,0,none,20
4,21,0.66,0.423,155.57,0.7338,60.219,28.414,41.845,100.778,0.2238,505.063,0.513,0,none,19
4,22,0.66,0.423,155.57,0.7,60.101,28.251,42.29,100.351,0.2249,503.174,0.26,0,none,18
4,23,0.66,0.423,155.57,0.7522,60.596,28.208,41.817,100.15,0.213,488.615,0.865,0,none,17
4,24,0.66,0.423,155.57,0.6965,60.904,27.847,42.355,100.332,0.2419,503.547,0.292,0,none,16
4,25,0.66,0.423,155.57,0.7413,60.598,28.177,42.944,99.473,0.2566,498.068,0.113,0,none,15
4,26,0.66,0.423,155.57,0.7673,61.439,28.166,42.425,99.981,0.257,504.0,0.297,0,none,14
4,27,0.66,0.423,155.57,0.7377,61.065,28.195,42.914,100.899,0.279,501.072,0.185,0,none,13
4,28,0.66,0.423,155.57,0.7779,60.476,28.758,43.381,99.073,0.2824,504.876,0.879,0,none,12
4,29,0.66,0.423,155.57,0.8,60.907,29.877,41.995,99.312,0.3047,498.24,0.602,0,none,11
4,30,0.66,0.423,155.57,0.7973,61.076,29.925,43.657,101.64,0.3074,500.377,0.104,0,none,10
4,31,0.66,0.423,155.57,0.778,60.492,29.113,43.312,100.143,0.3248,503.056,0.506,0,none,9
4,32,0.66,0.423,155.57,0.8075,60.737,30.01,42.54,99.388,0.3196,497.853,0.972,0,none,8
4,33,0.66,0.423,155.57,0.8162,60.55,30.003,43.526,98.76,0.3211,496.653,0.517,0,none,7
4,34,0.66,0.423,155.57,0.8338,60.304,31.084,44.07,98.125,0.3412,499.199,0.087,0,none,6
4,35,0.66,0.423,155.57,0.8634,60.257,31.395,43.552,97.838,0.3498,505.381,0.702,0,none,5
4,36,0.66,0.423,155.57,0.8458,59.963,31.046,42.808,100.267,0.3651,492.094,0.824,0,none,4
4,37,0.66,0.423,155.57,0.8879,60.812,31.613,43.346,100.343,0.3617,488.954,0.369,0,none,3
4,38,0.66,0.423,155.57,0.8758,60.266,31.896,43.838,99.775,0.3735,500.843,0.679,0,none,2
4,39,0.66,0.423,155.57,0.8988,61.368,31.477,44.003,100.759,0.3938,503.183,0.121,0,none,1
4,40,0.66,0.423,155.57,0.8771,60.854,31.969,43.896,99.871,0.3812,497.256,0.123,0,none,0
5,1,0.837,0.093,119.34,0.5119,59.04,30.617,40.528,101.287,0.0147,504.228,0.43,0,none,52
5,2,0.837,0.093,119.34,0.4961,60.5,31.079,39.865,101.392,0.0175,501.443,0.917,0,none,51
5,3,0.837,0.093,119.34,0.5352,59.15,30.921,39.382,101.171,0.0459,503.898,0.688,0,none,50
5,4,0.837,0.093,119.34,0.5182,59.875,31.103,40.293,99.692,0.0478,506.552,0.341,0,none,49
5,5,0.837,0.093,119.34,0.5779,60.025,31.469,41.055,98.817,0.0337,506.362,0.218,0,none,48
5,6,0.837,0.093,119.34,0.5595,60.26,31.621,40.812,99.526,0.0599,502.731,0.384,0,none,47
5,7,0.837,0.093,119.34,0.5701,59.591,31.862,39.798,99.645,0.0691,501.145,0.888,0,none,46
5,8,0.837,0.093,119.34,0.6035,60.345,31.967,41.024,98.429,0.0687,494.03,0.554,0,none,45
5,9,0.837,0.093,119.34,0.5929,60.966,32.023,40.79,101.228,0.0794,495.633,0.195,0,none,44
5,10,0.837,0.093,119.34,0.5966,59.964,31.225,41.374,98.927,0.1024,510.37,0.489,0,none,43
5,11,0.837,0.093,119.34,0.5916,60.366,31.887,42.08,101.127,0.1055,493.621,0.039,0,none,42
5,12,0.837,0.093,119.34,0.6729,59.489,31.427,41.434,101.086,0.121,501.54,0.125,0,none,41
